"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","LineProvider","OverUnder","Spread","FormattedSpread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401520158","Jacksonville State","49","East Tennessee State","3","William Hill (New Jersey)","55","-20.5","Jacksonville State -20.5","","","",""
"401520158","Jacksonville State","49","East Tennessee State","3","Bovada","55.0","-20.0","Jacksonville State -20.0","-13.5","54.5","-675","460"
"401539978","Richmond","10","Morgan State","17","Bovada","43.5","-25.5","Richmond -25.5","-25.5","47.0","",""
"401540027","Sacred Heart","14","Lafayette","19","Bovada","38.5","-5.5","Sacred Heart -5.5","-6.5","41.5","-270","220"
"401540043","Fordham","46","Wagner","16","Bovada","56.5","-28.0","Fordham -28.0","-27.0","58.0","",""
"401540548","Rhode Island","35","Stony Brook","14","William Hill (New Jersey)","55","-24.5","Rhode Island -24.5","","","",""
"401540286","Sacramento State","34","Texas A&M-Commerce","6","Bovada","","-34.5","Sacramento State -34.5","-34.5","","",""
"401540383","North Dakota State","44","Maine","7","Caesars Sportsbook (Colorado)","50.5","-35.5","North Dakota State -35.5","","","",""
"401540310","Northern Iowa","17","Weber State","34","William Hill (New Jersey)","50.5","-7.5","Northern Iowa -7.5","","","",""
"401540099","Illinois State","41","Dayton","0","William Hill (New Jersey)","46","-19","Illinois State -19","","","",""
"401540099","Illinois State","41","Dayton","0","Bovada","45.0","-19.0","Illinois State -19.0","-21.5","45.0","",""
"401525862","Houston","41","West Virginia","39","William Hill (New Jersey)","49","3","West Virginia -3","","","",""
"401525862","Houston","41","West Virginia","39","DraftKings","52.5","2.5","West Virginia -2.5","2.5","52.5","124","-135"
"401525862","Houston","41","West Virginia","39","Bovada","49.5","3.0","West Virginia -3.0","3.0","52.5","120","-140"
"401540017","Wagner","26","Duquesne","34","ESPN Bet","49.5","13.5","Duquesne -13.5","","","",""
"401540071","Lehigh","24","Holy Cross","28","ESPN Bet","58.5","22","Holy Cross -22","","","",""
"401540296","Brown","17","Yale","36","ESPN Bet","61.5","5.5","Yale -5.5","","","",""
"401540518","Marist","3","Drake","10","ESPN Bet","46.5","8","Drake -8","","","",""
"401540557","Presbyterian College","13","San Diego","23","ESPN Bet","46.5","5","San Diego -5","","","",""
"401540075","Lafayette","34","Colgate","37","ESPN Bet","49.5","-15.5","Lafayette -15.5","","","",""
"401540343","Columbia","24","Harvard","38","ESPN Bet","40.5","13.5","Harvard -13.5","","","",""
"401525451","Sam Houston State","24","Kennesaw State","21","ESPN Bet","41.5","-16.5","Sam Houston State -16.5","","","",""
"401540054","Fordham","27","Bucknell","21","ESPN Bet","67.5","-18.5","Fordham -18.5","","","",""
"401540304","Indiana State","7","Youngstown State","19","ESPN Bet","59.5","19.5","Youngstown State -19.5","","","",""
"401540328","Delaware","27","Elon","33","ESPN Bet","47.5","-14.5","Delaware -14.5","","","",""
"401540284","UC Davis","37","Portland State","23","ESPN Bet","60.5","-6.5","UC Davis -6.5","","","",""
"401540263","Montana","34","Sacramento State","7","ESPN Bet","53.5","-2.5","Montana -2.5","","","",""
"401540162","Jackson State","21","Texas Southern","19","ESPN Bet","57.5","-15.5","Jackson State -15.5","","","",""
"401540139","Arkansas-Pine Bluff","14","Grambling","43","ESPN Bet","51.5","15.5","Grambling -15.5","","","",""
"401539976","Delaware State","21","Norfolk State","44","ESPN Bet","51.5","7","Norfolk State -7","","","",""
"401539985","South Carolina State","17","Morgan State","20","ESPN Bet","39.5","-2","South Carolina State -2","","","",""
"401534857","Howard","50","North Carolina Central","20","ESPN Bet","59.5","7.5","North Carolina Central -7.5","","","",""
"401540568","Valparaiso","23","Stetson","20","ESPN Bet","53.5","-7.5","Valparaiso -7.5","","","",""
"401540577","Stony Brook","20","Albany","38","ESPN Bet","50.5","23.5","Albany -23.5","","","",""
"401539480","Iowa","0","Michigan","26","ESPN Bet","35.5","20.5","Michigan -20.5","","","",""
"401539480","Iowa","0","Michigan","26","Bovada","36.0","21.0","Michigan -21.0","23.5","35.0","1000","-2200"
"401539480","Iowa","0","Michigan","26","DraftKings","35","23.5","Michigan -23.5","23.5","35","1200","-2400"
"401539477","Tulane","14","SMU","26","ESPN Bet","47.5","-2.5","Tulane -2.5","","","",""
"401539477","Tulane","14","SMU","26","Bovada","47.5","-2.5","Tulane -2.5","-3.0","52.5","-185","160"
"401539477","Tulane","14","SMU","26","DraftKings","50.5","-4","Tulane -4","-4","50.5","-135","114"
"401539479","Texas","49","Oklahoma State","21","ESPN Bet","56.5","-14.5","Texas -14.5","","","",""
"401539479","Texas","49","Oklahoma State","21","Bovada","57.5","-14.5","Texas -14.5","-11.5","53.5","-625","430"
"401539479","Texas","49","Oklahoma State","21","DraftKings","55","-14","Texas -14","-14","55","-650","470"
"401539475","Washington","34","Oregon","31","ESPN Bet","64.5","9.5","Oregon -9.5","","","",""
"401539475","Washington","34","Oregon","31","Bovada","65.5","10.0","Oregon -10.0","9.0","67.0","270","-340"
"401539475","Washington","34","Oregon","31","DraftKings","67","9","Oregon -9","9","67","300","-380"
"401531415","East Carolina","10","SMU","31","William Hill (New Jersey)","49","11.5","SMU -11.5","","","",""
"401531415","East Carolina","10","SMU","31","DraftKings","50.5","11","SMU -11","11","50.5","320","-425"
"401531415","East Carolina","10","SMU","31","Bovada","48.5","11.5","SMU -11.5","9.0","50.5","330","-440"
"401540138","Prairie View","38","Arkansas-Pine Bluff","14","ESPN Bet","49.5","-12","Prairie View -12","","","",""
"401540331","Pennsylvania","23","Cornell","8","ESPN Bet","44.5","-10.5","Pennsylvania -10.5","","","",""
"401524041","California","49","USC","50","William Hill (New Jersey)","67.5","10","USC -10","","","",""
"401524041","California","49","USC","50","DraftKings","67","10.5","USC -10.5","11","67.5","320","-410"
"401524041","California","49","USC","50","Bovada","67.5","10.5","USC -10.5","10.5","67.0","305","-410"
"401539481","Toledo","14","Miami (OH)","23","Bovada","43.0","-7.0","Toledo -7.0","-7.5","46.5","-320","260"
"401539481","Toledo","14","Miami (OH)","23","ESPN Bet","43.5","-6.5","Toledo -6.5","","","",""
"401539481","Toledo","14","Miami (OH)","23","DraftKings","46","-8.5","Toledo -8.5","-8.5","46","-250","205"
"401539483","Alabama","27","Georgia","24","Bovada","53.5","5.0","Georgia -5.0","4.5","56.0","175","-210"
"401539483","Alabama","27","Georgia","24","ESPN Bet","52.5","5.5","Georgia -5.5","","","",""
"401539483","Alabama","27","Georgia","24","DraftKings","56","5","Georgia -5","5","","170","-205"
"401520323","Purdue","7","Ohio State","41","William Hill (New Jersey)","53.5","17","Ohio State -17","","","",""
"401520323","Purdue","7","Ohio State","41","DraftKings","52","18","Ohio State -18","19.5","52","625","-1000"
"401520323","Purdue","7","Ohio State","41","Bovada","53.0","17.5","Ohio State -17.5","21.0","51.5","700","-1200"
"401525524","Florida State","41","Syracuse","3","William Hill (New Jersey)","53","-18.5","Florida State -18.5","","","",""
"401525524","Florida State","41","Syracuse","3","Bovada","53.0","-19.5","Florida State -19.5","-18.0","56.5","-900","575"
"401525524","Florida State","41","Syracuse","3","DraftKings","53.5","-18.5","Florida State -18.5","-17.5","56.5","-1100","675"
"401524033","Utah","34","California","14","William Hill (New Jersey)","43","-9.5","Utah -9.5","","","",""
"401524033","Utah","34","California","14","DraftKings","44","-11","Utah -11","-13.5","45","-375","320"
"401524033","Utah","34","California","14","Bovada","42.5","-9.0","Utah -9.0","-13.5","45.0","-525","375"
"401524034","Washington","36","Oregon","33","William Hill (New Jersey)","67","-3","Washington -3","","","",""
"401524034","Washington","36","Oregon","33","Bovada","67.0","-3.5","Washington -3.5","-1.5","67.5","-150","130"
"401524034","Washington","36","Oregon","33","DraftKings","67","-3","Washington -3","-2","","-162","130"
"401520326","Tennessee","20","Texas A&M","13","William Hill (New Jersey)","54.5","-3","Tennessee -3","","","",""
"401520326","Tennessee","20","Texas A&M","13","Bovada","54.0","-3.0","Tennessee -3.0","-3.5","56.5","-160","135"
"401520326","Tennessee","20","Texas A&M","13","DraftKings","54.5","-3","Tennessee -3","-7","","-155","130"
"401525525","Pittsburgh","38","Louisville","21","William Hill (New Jersey)","45","7","Louisville -7","","","",""
"401525525","Pittsburgh","38","Louisville","21","Bovada","45.0","7.0","Louisville -7.0","9.5","47.5","260","-320"
"401525525","Pittsburgh","38","Louisville","21","DraftKings","44.5","7.5","Louisville -7.5","8","47.5","235","-290"
"401525526","North Carolina","41","Miami","31","William Hill (New Jersey)","57","-3","North Carolina -3","","","",""
"401525526","North Carolina","41","Miami","31","DraftKings","56.5","-2.5","North Carolina -2.5","-1","","-155","124"
"401525526","North Carolina","41","Miami","31","Bovada","57.5","-2.5","North Carolina -2.5","-4.0","56.0","-185","160"
"401525523","Duke","24","NC State","3","William Hill (New Jersey)","42.5","-4","Duke -4","","","",""
"401525523","Duke","24","NC State","3","Bovada","42.5","-3.5","Duke -3.5","-3.5","48.0","-175","150"
"401525523","Duke","24","NC State","3","DraftKings","44","-3.5","Duke -3.5","-3.5","48","-180","140"
"401540256","Idaho State","21","Weber State","33","ESPN Bet","56.5","8","Weber State -8","","","",""
"401520325","South Carolina","39","Florida","41","William Hill (New Jersey)","50","0","Florida -0","","","",""
"401520325","South Carolina","39","Florida","41","DraftKings","50","-2.5","South Carolina -2.5","-1","","-110","114"
"401520325","South Carolina","39","Florida","41","Bovada","50.0","1.0","Florida -1.0","-2.5","53.5","-125","105"
"401525899","West Virginia","42","Cincinnati","21","Bovada","52.0","-5.0","West Virginia -5.0","-6.0","54.5","-245","205"
"401525899","West Virginia","42","Cincinnati","21","DraftKings","56","-6.5","West Virginia -6.5","-6.5","56","-218","180"
"401525899","West Virginia","42","Cincinnati","21","ESPN Bet","52.5","-4.5","West Virginia -4.5","","","",""
